Date,Title,Media Type,URL
2022-09-18,Analemma over the Callanish Stones,image,https://apod.nasa.gov/apod/image/2209/CallanishAnalemma_Petricca_960.jpg
2022-09-19,Star Trails and Lightning over the Pyrenees,image,https://apod.nasa.gov/apod/image/2209/LightningStarTrails_Llimos_960.jpg
2022-09-20,Star Forming Region NGC 3582 without Stars,image,https://apod.nasa.gov/apod/image/2209/NGC3576_Willocks_960_Starless.jpg
2022-09-21,The Horsehead Nebula in Infrared from Hubble,image,https://apod.nasa.gov/apod/image/2209/HorseheadIr_HubbleNachman_960.jpg
2022-09-22,NGC 7331 Close Up,image,https://apod.nasa.gov/apod/image/2209/potw1805bc_ngc7331.jpg
2022-09-23,Ringed Ice Giant Neptune,image,https://apod.nasa.gov/apod/image/2209/NeptuneTriton_webb1059.png
2022-09-24,September Sunrise Shadows,image,https://apod.nasa.gov/apod/image/2209/DSCF4968_PS_Lioce-1024.jpg
2022-09-25,The Fairy of Eagle Nebula,image,https://apod.nasa.gov/apod/image/2209/FairyPillar_Hubble_960.jpg
2022-09-26,All the Water on Planet Earth,image,https://apod.nasa.gov/apod/image/2209/WaterlessEarth2_woodshole_960.jpg
2022-09-27,DART: Impact on Asteroid Dimorphos,video,https://www.youtube.com/embed/do4Cb__WhlY?rel=0
2022-09-28,A Furious Sky over Mount Shasta,image,https://apod.nasa.gov/apod/image/2209/ShastaSky_Rohner_960.jpg
2022-09-29,DART Asteroid Impact from Space,image,https://apod.nasa.gov/apod/image/2209/liciacube_leia_l0_1664234215_00000_01_c.jpg
2022-09-30,Equinox Sunrise Around the World,image,https://apod.nasa.gov/apod/image/2209/SunriseATWImageCollageFinal1067.jpg
2022-10-01,Lunation Matrix,image,https://apod.nasa.gov/apod/image/2210/Lu20220729-0826_1050.jpg
2022-10-02,Supernova Cannon Expels Pulsar J0002,image,https://apod.nasa.gov/apod/image/2210/CannonSupernova_English_960.jpg
2022-10-03,Jupiter's Europa from Spacecraft Juno,image,https://apod.nasa.gov/apod/image/2210/Europa_JunoLuck_1080.jpg
2022-10-04,Star-Forming Eagle Nebula without Stars,image,https://apod.nasa.gov/apod/image/2210/M16Eagle_Akar_960_starless.jpg
2022-10-05,Expanding Plume from DART's Impact,video,https://www.youtube.com/embed/MC8f6gxqn3s?ref=0
2022-10-06,NGC 4631: The Whale Galaxy,image,https://apod.nasa.gov/apod/image/2210/ngc4631_sherick1024.jpg
2022-10-07,In Ganymede's Shadow,image,https://apod.nasa.gov/apod/image/2210/JovianEclipse1024c.jpg
2022-10-08,Two Comets in Southern Skies,image,https://apod.nasa.gov/apod/image/2210/2017K2_2022-09-21_web.jpg
2022-10-09,Auroras over Northern Canada,image,https://apod.nasa.gov/apod/image/2210/aurora_kwon_960.jpg
2022-10-10,A Double Lunar Analemma over Turkey,image,https://apod.nasa.gov/apod/image/2210/LunarAnalemma_Turksoy_1080.jpg
2022-10-11,"Stars, Dust, Pillars, and Jets in the Pelican Nebula",image,https://apod.nasa.gov/apod/image/2210/Pelican_Almeida_960.jpg
2022-10-12,Ou4: The Giant Squid Nebula,image,https://apod.nasa.gov/apod/image/2210/SquidFinal3smaller1024.jpg
2022-10-13,Dust Shells around WR 140 from Webb,image,https://apod.nasa.gov/apod/image/2209/WR140_WebbSchmidt_960.jpg
2022-10-14,The Falcon and the Hunter's Moon,image,https://apod.nasa.gov/apod/image/2210/2T2A3056_1024.jpg
2022-10-15,GRB 221009A,image,https://apod.nasa.gov/apod/image/2210/LAT_221009A_burst_opt_1080.gif
2022-10-16,Barred Spiral Galaxy NGC 1300,image,https://apod.nasa.gov/apod/image/2210/NGC1300_HST_1080.jpg
2022-10-17,X-Ray Rings Around a Gamma Ray Burst,image,https://apod.nasa.gov/apod/image/2210/GrbRings_SwiftMiller_960.jpg
2022-10-18,Milky Way Auroral Flower,image,https://apod.nasa.gov/apod/image/2210/GalaxyFlower_Strand_960.jpg
2022-10-19,"A Galaxy Beyond Stars, Gas, Dust",image,https://apod.nasa.gov/apod/image/2210/Ngc7497Cirrus_Trottier_960.jpg
2022-10-20,Pillars of Creation,image,https://apod.nasa.gov/apod/image/2210/stsci-pillarsofcreation1280c.jpg
2022-10-21,Andromeda in Southern Skies,image,https://apod.nasa.gov/apod/image/2210/andromeda-over-alps1100.jpg
2022-10-22,NGC 1499: The California Nebula,image,https://apod.nasa.gov/apod/image/2210/20221011NGC1499CaliforniaNebula1024.jpg
2022-10-23,Milky Way and Zodiacal Light over Australian Pinnacles,image,https://apod.nasa.gov/apod/image/2210/ZodiacalPinnacles_Zhang_1080.jpg
2022-10-24,Clouds Around Galaxy Andromeda,image,https://apod.nasa.gov/apod/image/2210/M31Clouds_Fryhover_960.jpg
2022-10-25,Jupiter Rotates as Moons Orbit,video,https://www.youtube.com/embed/juloL5WeLrc?rel=0
2022-10-26,Cocoon Nebula Wide Field,image,https://apod.nasa.gov/apod/image/2210/CocoonWide_Ermolli_960.jpg
2022-10-27,"Sunset, Moonset, Taj Mahal",image,https://apod.nasa.gov/apod/image/2210/2022-10-25pseTaj600h.jpg
2022-10-28,Seven Years of Halley Dust,image,https://apod.nasa.gov/apod/image/2210/2016-2022_Orionids_Pano_1100px_0.jpg
2022-10-29,LDN 673: Dark Clouds in Aquila,image,https://apod.nasa.gov/apod/image/2210/LDN673_1024.jpg
2022-10-30,Night on a Spooky Planet,image,https://apod.nasa.gov/apod/image/2210/Hverir_Vetter_960.jpg
2022-10-31,LDN 43: The Cosmic Bat Nebula,image,https://apod.nasa.gov/apod/image/2210/LDN43_SelbyHanson_960.jpg
2022-11-01,NGC 6357: The Lobster Nebula,image,https://apod.nasa.gov/apod/image/2211/Lobster_Blanco_960.jpg
2022-11-02,A Partial Eclipse of an Active Sun,video,https://www.youtube.com/embed/7dh5VL5YGoA?rel=0
2022-11-03,M33: The Triangulum Galaxy,image,https://apod.nasa.gov/apod/image/2211/M33-NOIR-HST-LL_1024.jpg
2022-11-04,InSight's Final Selfie,image,https://apod.nasa.gov/apod/image/2211/PIA25287_insight1024.jpg
2022-11-05,Lunar Eclipse at the South Pole,image,https://apod.nasa.gov/apod/image/2211/Lunar-Eclipse-South-Pole_1024.jpg
2022-11-06,Dark Ball in Inverted Starfield,image,https://apod.nasa.gov/apod/image/2211/darksun_lafferty_960.jpg
2022-11-07,A Total Lunar Eclipse Over Tajikistan,video,https://player.vimeo.com/video/25808333
2022-11-08,Galaxies: Wild's Triplet from Hubble,image,https://apod.nasa.gov/apod/image/2211/WildTriplet_Hubble_960.jpg
2022-11-09,The Asymmetric Nebula Surrounding Wolf-Rayet Star 18,image,https://apod.nasa.gov/apod/image/2211/wr18_woronow_960.jpg
2022-11-10,Total Lunar Eclipse,image,https://apod.nasa.gov/apod/image/2211/2022_11_08_TLE_Trio_1024px.png
2022-11-11,"Blood Moon, Ice Giant",image,https://apod.nasa.gov/apod/image/2211/LunarEclipseRyanHan1024.jpg
2022-11-12,Eclipse in the City,image,https://apod.nasa.gov/apod/image/2211/StanHondaTLE-ISS1108annotated1024.jpg
2022-11-13,Flying Saucer Crash Lands in Utah Desert,image,https://apod.nasa.gov/apod/image/2211/GenesisImpact_nasa_960.jpg
2022-11-14,NGC 7380: The Wizard Nebula,image,https://apod.nasa.gov/apod/image/2211/Wizard_Popa_960.jpg
2022-11-15,Wolf's Cave Nebula,image,https://apod.nasa.gov/apod/image/2211/WolfsCave_Lacroce_960.jpg
2022-11-16,In the Arms of NGC 1097,image,https://apod.nasa.gov/apod/image/2211/NGC-1097-LRGB_Ha-rev-12-2022_1024.jpg
2022-11-17,Planet Earth from Orion,image,https://apod.nasa.gov/apod/image/2211/Orion_Spacecraft_Earth_Views_20221116-1067.jpg
2022-11-18,The Protostar within L1527,image,https://apod.nasa.gov/apod/image/2211/weic2219a1024.jpg
2022-11-19,Artemis 1 Moonshot,image,https://apod.nasa.gov/apod/image/2211/DSC_3971-11-16-2022-1024o.jpg
2022-11-20,Airglow Ripples over Tibet,image,https://apod.nasa.gov/apod/image/2211/rippledsky_dai_960.jpg
2022-11-21,The Butterfly Nebula from Hubble,image,https://apod.nasa.gov/apod/image/2211/Butterfly_HubbleOstling_960.jpg
2022-11-22,A Double Star Cluster in Perseus,image,https://apod.nasa.gov/apod/image/2211/DoubleCluster_Lease_960.jpg
2022-11-23,Earthset from Orion,image,https://apod.nasa.gov/apod/image/2211/earthset-snap01.png
2022-11-24,Lynds Dark Nebula 1251,image,https://apod.nasa.gov/apod/image/2211/LDN1251v7social1024.png
2022-11-25,NGC 6744: Extragalactic Close-Up,image,https://apod.nasa.gov/apod/image/2211/STSCI-H-p1827h-NGC6744_1024x925.jpg
2022-11-26,Saturn at Night,image,https://apod.nasa.gov/apod/image/2211/LastRingPortrait_Cassini_1080.jpg
2022-11-27,Supernumerary Rainbows over New Jersey,image,https://apod.nasa.gov/apod/image/2211/SupernumeraryRainbows_Entwistle_960.jpg
2022-11-28,Leonid Meteors Through Orion,image,https://apod.nasa.gov/apod/image/2211/Leonids2022_Hongyang_960.jpg
2022-11-29,The Gum Nebula Supernova Remnant,image,https://apod.nasa.gov/apod/image/2211/Gum_Lima_960.jpg
2022-11-30,"The Light, the Dark, and the Dusty",image,https://apod.nasa.gov/apod/image/2211/Cave_Copyright_APOD1024.png
2022-12-01,Artemis 1: Flight Day 13,image,https://apod.nasa.gov/apod/image/2212/art001e000672-orig1024c.jpg
2022-12-02,Merging Galaxy Pair IIZw096,image,https://apod.nasa.gov/apod/image/2212/potm2211a_1024.jpg
2022-12-03,Stereo Mars near Opposition,image,https://apod.nasa.gov/apod/image/2212/Mars-Stereo.png
2022-12-04,Video: Powers of Ten,video,https://www.youtube.com/embed/0fKBhvDjuy0?rel=0
2022-12-05,Pleiades: The Seven Sisters Star Cluster,image,https://apod.nasa.gov/apod/image/2212/Pleiades_Estes_1080.jpg
2022-12-06,M16: A Star Forming Pillar from Webb,image,https://apod.nasa.gov/apod/image/2212/M16Pillar_WebbOzsarac_960.jpg
2022-12-07,NGC 7293: The Helix Nebula,image,https://apod.nasa.gov/apod/image/2212/NGC7293-TommasoStella2022WEB1024.jpg
2022-12-08,Orion and the Ocean of Storms,image,https://apod.nasa.gov/apod/image/2212/art001e002132_apod1024.jpg
2022-12-09,Mars Rises above the Lunar Limb,image,https://apod.nasa.gov/apod/image/2212/Mars_Moon_fullsize_TGlenn1024.jpg
2022-12-10,America and the Sea of Serenity,image,https://apod.nasa.gov/apod/image/2212/22466-22467anaVantuyne900.jpg
2022-12-11,Io in True Color,image,https://apod.nasa.gov/apod/image/2212/iotruecolor_galileo_960.jpg
2022-12-12,An Unusual Globule in IC 1396,image,https://apod.nasa.gov/apod/image/2212/IC1396_Miller_960.jpg
2022-12-13,An Artful Sky over Lofoten Islands,image,https://apod.nasa.gov/apod/image/2212/SkyArt_Cobianchi_1024.jpg
2022-12-14,Lunar Dust and Duct Tape,image,https://apod.nasa.gov/apod/image/2212/AS17-137-20979_1024.jpg
2022-12-15,"Full Moon, Full Mars",image,https://apod.nasa.gov/apod/image/2212/MarsTrailsSMALL1024.jpg
2022-12-16,The Geminid,image,https://apod.nasa.gov/apod/image/2212/GeminidoverBluemoonvalley-1024.jpg
2022-12-17,Apollo 17 VIP Site Anaglyph,image,https://apod.nasa.gov/apod/image/2212/a17anaglyph_vanMeijgaarden_1024v.jpg
2022-12-18,25 Brightest Stars in the Night Sky,image,https://apod.nasa.gov/apod/image/2212/25BrightestStars_Jittasaiyapan_960.jpg
2022-12-19,The Tadpole Nebula in Gas and Dust,image,https://apod.nasa.gov/apod/image/2212/Tadpoles_Stocks_960.jpg
2022-12-20,Thor's Helmet,image,https://apod.nasa.gov/apod/image/2212/Thor_Rochford_960.jpg
2022-12-21,Sun Halo at Sixty-three Degrees North,image,https://apod.nasa.gov/apod/image/2212/GS_20221217_Solhalo_Pan_v3_1100.jpg
2022-12-22,NGC 1365: Majestic Island Universe,image,https://apod.nasa.gov/apod/image/2212/NGC1365-CDK24-CDK17_1024.jpg
2022-12-23,Cassini Looks Out from Saturn,image,https://apod.nasa.gov/apod/image/2212/SaturnInsideOut2_cassini_960.jpg
2022-12-24,Comet 2022 E3 (ZTF),image,https://apod.nasa.gov/apod/image/2212/c2022E3_ZTF_Bartlett800.png
2022-12-25,Geminids and the Mittens,image,https://apod.nasa.gov/apod/image/2212/J7A6402-Edit-copy-sharpened1024.jpg
2022-12-26,NGC 6164: Dragon's Egg Nebula and Halo,image,https://apod.nasa.gov/apod/image/2212/DragonsEgg_Croman_960.jpg
2022-12-27,A Full Circle Rainbow over Norway,image,https://apod.nasa.gov/apod/image/2212/FullCircleRainbow_Moesch_960.jpg
2022-12-28,Messier 88,image,https://apod.nasa.gov/apod/image/2212/M88_2022weebly.jpg
2022-12-29,Horsehead and Flame,image,https://apod.nasa.gov/apod/image/2212/B33LRGB_fb1024.png
2022-12-30,Mars and the Star Clusters,image,https://apod.nasa.gov/apod/image/2212/mars_clusters1024.jpg
2022-12-31,Moon over Makemake,image,https://apod.nasa.gov/apod/image/2212/Makemakemoon100mile.jpg
2023-01-01,The Largest Rock in our Solar System,image,https://apod.nasa.gov/apod/image/2301/PaleBlueDotOrig_Voyager1_960.jpg
2023-01-02,After Sunset Planet Parade,image,https://apod.nasa.gov/apod/image/2301/AllPlanets_Tezel_1080_annotated.jpg
2023-01-03,Kemble’s Cascade of Stars,image,https://apod.nasa.gov/apod/image/2301/KembleCascade_Lease_960.jpg
2023-01-04,CG4: The Globule and the Galaxy,image,https://apod.nasa.gov/apod/image/2301/cg4_selby_960.jpg
2023-01-05,Messier 45: The Daughters of Atlas and Pleione,image,https://apod.nasa.gov/apod/image/2301/M_45_Plejarden_Stefan_Thrun_klein1024.jpg
2023-01-06,Moon O'Clock 2022,image,https://apod.nasa.gov/apod/image/2301/MoonOClock1024.jpg
2023-01-07,Space Stations in Low Earth Orbit,image,https://apod.nasa.gov/apod/image/2301/ISS_TIANHE_FINAL_4_APOD1024.jpg
2023-01-08,Where Your Elements Came From,image,https://apod.nasa.gov/apod/image/2301/Nucleosynthesis2_WikipediaCmglee_1080.jpg
2023-01-09,Tails of Comet ZTF,image,https://apod.nasa.gov/apod/image/2301/CometZtf_Hernandez_960.jpg
2023-01-10,NGC 2264: The Cone Nebula,image,https://apod.nasa.gov/apod/image/2301/ConeNebula_Dieterich_960.jpg
2023-01-11,Spiral Aurora over Iceland,image,https://apod.nasa.gov/apod/image/2301/RockyArchAurora_Pellegrini_960.jpg
2023-01-12,Stardust in Perseus,image,https://apod.nasa.gov/apod/image/2301/ic348-ngc1333_1024.jpg
2023-01-13,Young Star Cluster NGC 346,image,https://apod.nasa.gov/apod/image/2301/jwst-ngc346-800.png
2023-01-14,Perihelion Sun 2023,image,https://apod.nasa.gov/apod/image/2301/Sol3Jan2023web1024.jpg
2023-01-15,M1: The Crab Nebula from Hubble,image,https://apod.nasa.gov/apod/image/2301/CrabNebula_Hubble_960.jpg
2023-01-16,Moon Enhanced,image,https://apod.nasa.gov/apod/image/2301/MoonEnhanced_Mirza_960.jpg
2023-01-17,Unexpected Clouds Toward the Andromeda Galaxy,image,https://apod.nasa.gov/apod/image/2301/M31OiiiArc_Strottner_960.jpg
2023-01-18,MACS0647: Gravitational Lensing of the Early Universe by Webb,image,https://apod.nasa.gov/apod/image/2301/MacsClusterLens_Webb_960.jpg
2023-01-19,The Seagull Nebula,image,https://apod.nasa.gov/apod/image/2301/crtastro_0172_1097p.jpg
2023-01-20,Galaxy Wars: M81 and M82,image,https://apod.nasa.gov/apod/image/2301/AUFSCHNAITER_Andreas_APOD_Bode_Cigare1024.jpg
2023-01-21,Naked-eye Comet ZTF,image,https://apod.nasa.gov/apod/image/2301/ZTF_salamanca1024.jpg
2023-01-22,In Green Company: Aurora over Norway,image,https://apod.nasa.gov/apod/image/2301/greencompany_rive_960.jpg
2023-01-23,The Colliding Spiral Galaxies of Arp 274,image,https://apod.nasa.gov/apod/image/2301/Arp274_HubbleOzsarac_1080.jpg
2023-01-24,LHS 475 b: Earth-Sized Exoplanet,image,https://apod.nasa.gov/apod/image/2301/RockyRed7_DeepAI_960.jpg
2023-01-25,LDN 1622: The Boogeyman Nebula,image,https://apod.nasa.gov/apod/image/2301/LDN1622_Carter_960.jpg
2023-01-26,Active Galaxy NGC 1275,image,https://apod.nasa.gov/apod/image/2301/ngc1275_heic0817a_1024.jpg
2023-01-27,Comet ZTF: Orbital Plane Crossing,image,https://apod.nasa.gov/apod/image/2301/C2022E3ZTF_2023_01_23_054036PST_DEBartlett1024.jpg
2023-01-28,Comet ZTF over Mount Etna,image,https://apod.nasa.gov/apod/image/2301/C2022E3ZTFMountEtna1024.jpg
2023-01-29,Barnard 68: Dark Molecular Cloud,image,https://apod.nasa.gov/apod/image/2301/barnard68v2_vlt_960.jpg
2023-01-30,Globular Star Cluster NGC 6355 from Hubble,image,https://apod.nasa.gov/apod/image/2301/ngc6355_hubble_1080.jpg
2023-01-31,A Triple View of Comet ZTF,image,https://apod.nasa.gov/apod/image/2301/TripleCometZTF_Caldera_960.jpg
2023-02-01,The Seventh World of Trappist-1,image,https://apod.nasa.gov/apod/image/2302/Trappist1h_Carroll_960.jpg
2023-02-02,Reflections on the 1970s,image,https://apod.nasa.gov/apod/image/2302/NGC1975RunningMan_1024.jpg
2023-02-03,Polaris and the Trail of Comet ZTF,image,https://apod.nasa.gov/apod/image/2302/C2022E3(ZTF)Circumpolarv2comentada1024.jpg
2023-02-04,NGC 2626 along the Vela Molecular Ridge,image,https://apod.nasa.gov/apod/image/2302/NGC_2626_CDK_700_II_20_Jan_2023_1024.jpg
2023-02-05,Enceladus by Saturnshine,image,https://apod.nasa.gov/apod/image/2302/enceladus12_cassini_960.jpg
2023-02-06,In the Heart of the Rosette Nebula,image,https://apod.nasa.gov/apod/image/2302/Rosette_Insley_960.jpg
2023-02-07,A Comet and Two Dippers,image,https://apod.nasa.gov/apod/image/2302/ZtfDippersB_Horalek_960_annotated.jpg
2023-02-08,Stellar Wind-Shaped Nebula RCW 58,image,https://apod.nasa.gov/apod/image/2302/Rcw58_Selby_960.jpg
2023-02-09,Nacreous Clouds over Lapland,image,https://apod.nasa.gov/apod/image/2302/PearlCloudDennis7_1024.jpg
2023-02-10,ZTF meets ATLAS,image,https://apod.nasa.gov/apod/image/2302/C2022E3ZTFmeetsC2022U2Atlasbeschriftet1024.jpg
2023-02-11,Magellanic Clouds over Chile,image,https://apod.nasa.gov/apod/image/2302/magellanic1200.jpg
2023-02-12,Mammatus Clouds over Nebraska,image,https://apod.nasa.gov/apod/image/2302/mammatus_olson_960.jpg
2023-02-13,Comet ZTF and Mars,image,https://apod.nasa.gov/apod/image/2302/CometZtfMars_Lioce_960.jpg
2023-02-14,The Heart and Soul Nebulas,image,https://apod.nasa.gov/apod/image/2302/HeartSoul_deHaro_1080.jpg
2023-02-15,Airglow Sky over France,image,https://apod.nasa.gov/apod/image/2302/AirglowFrance_Looten_1080.jpg
